0.322,0.05551,0.00137,,
0.323,0.06871,0.00146,,
0.324,0.08027,0.00163,,
0.325,0.08986,0.00192,,
0.326,0.09624,0.00232,,
0.327,0.09834,0.00282,,
0.328,0.09485,0.00338,,
0.329,0.08406,0.00395,,
0.33,0.06577,0.00449,,
0.331,0.03924,0.00495,,
0.332,0.00412,0.00526,,
0.333,-0.0397,0.00535,,
0.334,-0.09216,0.00515,,
0.335,-0.15216,0.00464,,
0.336,-0.21878,0.00376,,
0.337,-0.29067,0.0025,,
0.338,-0.36601,8.68E-04,,
0.339,-0.44241,-0.00112,,
0.34,-0.51743,-0.00343,,
0.341,-0.58896,-0.00598,,
0.342,-0.6548,-0.00869,,
0.343,-0.71243,-0.01148,,
0.344,-0.75909,-0.01423,,
0.345,-0.79287,-0.01681,,
0.346,-0.81292,-0.01914,,
0.347,-0.81854,-0.02111,,
0.348,-0.80911,-0.02264,,
0.349,-0.78425,-0.02363,,
0.35,-0.74472,-0.02405,,
0.351,-0.69256,-0.02389,,
0.352,-0.62984,-0.02316,,
0.353,-0.5586,-0.02191,,
0.354,-0.48108,-0.02016,,
0.355,-0.40014,-0.01801,,
0.356,-0.31906,-0.01558,,
0.357,-0.24062,-0.01296,,
0.358,-0.16718,-0.01027,,
0.359,-0.10074,-0.00761,,
0.36,-0.0433,-0.00507,,
0.361,0.00405,-0.00275,,
0.362,0.04073,-7.02E-04,,
0.363,0.06667,0.00103,,
0.364,0.08241,0.00242,,
0.365,0.0883,0.00348,,
0.366,0.08624,0.00421,,
0.367,0.07794,0.00466,,
0.368,0.06506,0.00487,,
0.369,0.04949,0.00488,,
0.37,0.03219,0.00472,,
0.371,0.01546,0.00445,,
0.372,7.47E-04,0.0041,,
0.373,-0.01105,0.00372,,
0.374,-0.01926,0.00332,,
0.375,-0.02428,0.00288,,
0.376,-0.02561,0.00246,,
0.377,-0.02344,0.00205,,
0.378,-0.01838,0.00167,,
0.379,-0.01118,0.00133,,
0.38,-0.00302,0.00102,,
0.381,0.00552,7.80E-04,,
0.382,0.01381,6.33E-04,,
0.383,0.02122,5.98E-04,,
0.384,0.02726,6.88E-04,,
0.385,0.03158,9.18E-04,,
0.386,0.0341,0.0013,,
0.387,0.03493,0.00182,,
0.388,0.03431,0.00247,,
0.389,0.03252,0.00322,,
0.39,0.03004,0.00401,,
0.391,0.02718,0.0048,,
0.392,0.02428,0.00552,,
0.393,0.02163,0.00611,,
0.394,0.01942,0.0065,,
0.395,0.01776,0.00664,,
0.396,0.01663,0.00649,,
0.397,0.01591,0.00603,,
0.398,0.01542,0.00526,,
0.399,0.01495,0.00419,,
0.4,0.01428,0.00289,,
0.401,0.01326,0.0014,,
0.402,0.01179,-1.76E-04,,
0.403,0.00982,-0.00176,,
0.404,0.00738,-0.00326,,
0.405,0.00463,-0.00457,,
0.406,0.00178,-0.00561,,
0.407,-8.80E-04,-0.00632,,
0.408,-0.00308,-0.00666,,
0.409,-0.00459,-0.00659,,
0.41,-0.00512,-0.00612,,
0.411,-0.00457,-0.00529,,
0.412,-0.00291,-0.00415,,
0.413,-2.02E-04,-0.00278,,
0.414,0.00333,-0.00124,,
0.415,0.00743,3.51E-04,,
0.416,0.01166,0.0019,,
0.417,0.01558,0.00332,,
0.418,0.01875,0.00452,,
0.419,0.02074,0.00547,,
0.42,0.02123,0.00609,,
0.421,0.01997,0.00638,,
0.422,0.01689,0.00634,,
0.423,0.01203,0.006,,
0.424,0.00562,0.00541,,
0.425,-0.00192,0.00464,,
0.426,-0.0101,0.00378,,
0.427,-0.01834,0.0029,,
0.428,-0.02604,0.0021,,
0.429,-0.03259,0.00146,,
0.43,-0.03741,0.00105,,
0.431,-0.04011,9.43E-04,,
0.432,-0.04043,0.00116,,
0.433,-0.0383,0.00172,,
0.434,-0.03385,0.00259,,
0.435,-0.02735,0.00374,,
0.436,-0.01932,0.0051,,
0.437,-0.01037,0.00659,,
0.438,-0.00118,0.00811,,
0.439,0.00746,0.00954,,
0.44,0.01489,0.01078,,
0.441,0.02046,0.01174,,
0.442,0.02369,0.01233,,
0.443,0.02427,0.01249,,
0.444,0.02204,0.01218,,
0.445,0.01713,0.01139,,
0.446,0.00986,0.01016,,
0.447,6.77E-04,0.00854,,
0.448,-0.00981,0.00659,,
0.449,-0.0209,0.00443,,
0.45,-0.03181,0.00216,,
0.451,-0.0418,-9.03E-05,,
0.452,-0.05024,-0.00222,,
0.453,-0.05663,-0.00413,,
0.454,-0.06062,-0.00572,,
0.455,-0.06198,-0.00693,,
0.456,-0.06077,-0.00773,,
0.457,-0.0572,-0.00811,,
0.458,-0.05167,-0.00809,,
0.459,-0.04474,-0.00769,,
0.46,-0.03697,-0.00697,,
0.461,-0.02907,-0.00601,,
0.462,-0.02168,-0.00488,,
0.463,-0.01539,-0.00366,,
0.464,-0.01076,-0.00242,,
0.465,-0.00808,-0.00122,,
0.466,-0.0076,-1.05E-04,,
0.467,-0.00935,8.81E-04,,
0.468,-0.01323,0.00172,,
0.469,-0.01899,0.00239,,
0.47,-0.02618,0.00292,,
0.471,-0.03436,0.00331,,
0.472,-0.04301,0.00357,,
0.473,-0.05163,0.00372,,
0.474,-0.05972,0.00377,,
0.475,-0.06682,0.00374,,
0.476,-0.0726,0.00364,,
0.477,-0.07685,0.00347,,
0.478,-0.0795,0.00322,,
0.479,-0.08056,0.0029,,
0.48,-0.08012,0.00248,,
0.481,-0.07842,0.00197,,
0.482,-0.07574,0.00136,,
0.483,-0.07241,6.65E-04,,
0.484,-0.0688,-1.22E-04,,
0.485,-0.06518,-9.93E-04,,
0.486,-0.06187,-0.00192,,
0.487,-0.0591,-0.00289,,
0.488,-0.05705,-0.00386,,
0.489,-0.05588,-0.00479,,
0.49,-0.05554,-0.00565,,
0.491,-0.05604,-0.00639,,
0.492,-0.05734,-0.00699,,
0.493,-0.05933,-0.0074,,
0.494,-0.06194,-0.00759,,
0.495,-0.06495,-0.00754,,
0.496,-0.06827,-0.00725,,
0.497,-0.07182,-0.0067,,
0.498,-0.0755,-0.00592,,
0.499,-0.07929,-0.00492,,
0.5,-0.08308,-0.00374,,
0.501,-0.08687,-0.00243,,
0.502,-0.09062,-0.00105,,
0.503,-0.09434,3.51E-04,,
0.504,-0.09803,0.00169,,
0.505,-0.10159,0.00291,,
0.506,-0.105,0.00394,,
0.507,-0.10819,0.00473,,
0.508,-0.1111,0.00524,,
0.509,-0.11368,0.00544,,
0.51,-0.11577,0.00533,,
0.511,-0.11735,0.00491,,
0.512,-0.11837,0.00423,,
0.513,-0.11882,0.00334,,
0.514,-0.11878,0.00229,,
0.515,-0.11819,0.00117,,
0.516,-0.11721,5.36E-05,,
0.517,-0.11598,-9.66E-04,,
0.518,-0.11469,-0.00182,,
0.519,-0.11355,-0.00245,,
0.52,-0.11266,-0.00281,,
0.521,-0.11225,-0.00287,,
0.522,-0.11246,-0.00263,,
0.523,-0.11344,-0.00211,,
0.524,-0.1153,-0.00136,,
0.525,-0.11797,-4.28E-04,,
0.526,-0.12144,6.06E-04,,
0.527,-0.12561,0.00167,,
0.528,-0.13035,0.00268,,
0.529,-0.13554,0.00357,,
