0.067,-0.49739,-0.02522
0.068,-0.49739,-0.02522
0.069,-0.49739,-0.02522
0.07,-0.49739,-0.02522
0.071,-0.49739,-0.02522
0.072,-0.49739,-0.02522
0.073,-0.49739,-0.02522
0.074,-0.49739,-0.02522
0.075,-0.49739,-0.02522
0.076,-0.49739,-0.02522
0.077,-0.49739,-0.02522
0.078,-0.49739,-0.02522
0.079,-0.49739,-0.02522
0.08,-0.49739,-0.02522
0.081,-0.49739,-0.02522
0.082,-0.49739,-0.02522
0.083,-0.49739,-0.02522
0.084,-0.49739,-0.02522
0.085,-0.49739,-0.02522
0.086,-0.49739,-0.02522
0.087,-0.49739,-0.02522
0.088,-0.49739,-0.02522
0.089,-0.49739,-0.02522
0.09,-0.49739,-0.02522
0.091,-0.49739,-0.02522
0.092,-0.49739,-0.02522
0.093,-0.49739,-0.02522
0.094,-0.49739,-0.02522
0.095,-0.49739,-0.02522
0.096,-0.49739,-0.02522
0.097,-0.49739,-0.02522
0.098,-0.49739,-0.02522
0.099,-0.49739,-0.02522
0.1,-0.49739,-0.02522
0.101,-0.49739,-0.02522
0.102,-0.49739,-0.02522
0.103,-0.49739,-0.02522
0.104,-0.49739,-0.02522
0.105,-0.49739,-0.02522
0.106,-0.49739,-0.02522
0.107,-0.49739,-0.02522
0.108,-0.49739,-0.02522
0.109,-0.49739,-0.02522
0.11,-0.49739,-0.02522
0.111,-0.49739,-0.02522
0.112,-0.49739,-0.02522
0.113,-0.49739,-0.02522
0.114,-0.49739,-0.02522
0.115,-0.49739,-0.02522
0.116,-0.49739,-0.02522
0.117,-0.49739,-0.02522
0.118,-0.49739,-0.02522
0.119,-0.49739,-0.02522
0.12,-0.49739,-0.02522
0.121,-0.49739,-0.02522
0.122,-0.49739,-0.02522
0.123,-0.49739,-0.02522
0.124,-0.49739,-0.02522
0.125,-0.49739,-0.02522
0.126,-0.49739,-0.02522
0.127,-0.49739,-0.02522
0.128,-0.49739,-0.02522
0.129,-0.49739,-0.02522
0.13,-0.49739,-0.02522
0.131,-0.49739,-0.02522
